,text,target
1759,"जिस तरह से यह कंगारू कमाल दिखा रहा है उसके बाद अब किसी गेंदबाज़ के लिए मैक्सवेल को रोकना असंभव लग रहा है।
",0
771,"वोट डालना मेरी एक अहम जिम्मेदारी है। इसे मैंने पूरा कर लिया।
",1
448,"ज्वाला गट्टा देखने में बेहद आकर्षक, खूबसूरत और ग्लैमरस हैं।
",1
26,"विनिर्माण क्षेत्र को दोबारा गतिशील बनाने के लिए इस क्षेत्र में सुधार की आवश्यकता होगी।
",1
2356,"उस दब्बू लड़के को सभी परेशान करते हैं
",0
756,"इसके साथ ही लिस्बन का टिकट पक्का हो गया, जहां फाइनल मैच खेला जाना है.
",1
1342,"इसलिए स्मॉल कैप स्टॉक्स में ज्यादा सेलिंग करना संभव नहीं होता।
",0
1838,"परिसर में हो रही गतिविधियों को लेकर मंडी प्रशासन बेखबर है।
",0
1012,"बुलंद हौसलों के साथ कुछ भी करना संभव है
",1
386,"जब मेरी अपनी इस बिना पैंट के कैटवॉक पर निकली तो बाजार में चारों तरफ हर कोई उसकी इस अदा का दीवाना हो गया।
",1
1146,"देश के उत्थान के लिए देशवासियों का जागरूक रहना आवश्यक है
",1
722,"एलओसी व्यापार को भी और ज्यादा सुगम बनाया जा रहा है।
",1
275,"काजोल ने कहा कि ये उनके सीखने के दिन है, वे बातों को तेजी से पकड़ते हैं, और अभी जो सीख रहे हैं वहीं साथ रखेंगे.
",1
761,"विपक्षियों को मुंहतोड़ जवाब देने में वे सिद्धहस्त हैं।
",1
551,"आप अपने डाटा को पासवर्ड की मदद से सुरक्षित कर सकते हैं।
",1
1319,"यही वजह है कि गैस त्रासदी के पूरे कचरे को जलाने के संबंध में सुप्रीम कोर्ट ने अभी तक अंतिम मुहर नहीं लगाई है।
",0
72,"भारत के पहले मंगल मिशन पर कई देशों की नजर है.
",1
735,"ट्रेलर से ही पता चल जाता है कि रोमांस से लेकर तो एक्शन तक सबमें टाइगर माहिर है।
",1
1125,"मर्यादित व्यक्ति श्रद्धा के पात्र होते हैं
",1
1040,"उन्होंने एसपी को शस्त्र का सत्यापन कराने वाले लोगों को अविलंब सूचना देने को कहा है।
",1
727,"खेलों का प्रशिक्षण बच्चों को खेलों में पारंगत प्रशिक्षकों द्वारा दिया जाएगा।
",1
113,"यह काफी बुरी स्थिति में जा सकता था लेकिन मैंने हालात को संभाल लिया।
",1
1552,"इस बदहाल व्यवस्था के कारण गरीब अनावश्यक रूप से परेशान होता है।
",0
231,"उच्चतम न्यायालय ने आईपीएल में स्पॉट फिक्सिंग और भ्रष्टाचार की जाँच के लिए बीसीसीआई द्वारा गठित पैनल को ख़ारिज कर दिया है.
",1
1293,"उम्मीद के विपरीत दोनों ही ट्रेनों में यात्रियों की संख्या काफी कम रहती है।
",0
734,"फिर रॉस टेलर भी फटाफट क्रिकेट खेलने में माहिर हैं।
",1
1162,"विदेशी लोग भारतीय शिष्टाचार से बहुत प्रभावित होते हैं
",1
2348,"अकर कर्मों को करना मूर्खता ही होगी
",0
1238,"सलमान अपनी टोयोटा लैंड क्रूजर ड्राइव कर रहे थे और काफी नशे की हालत में थे।
",0
915,"मैं हमेशा ही कैमरे के सामने बेहद सहज रही हूं.
",1
581,"भट्ट लकी सर के लिए स्पेशल अदरक, इलायची वाली चाय बनाता है, जिसे देने की जिम्मेदारी अर्जुन की है।
",1
1646,"रवि शास्त्री पूरी तरह से पक्षपाती हैं और बीसीसीआई से वेतन लेते हैं।
",0
1822,"मौसम की वजह से फ्लाइट में देरी होती है या फिर कैंसल होती है तो उस हालत में यह स्कीम मान्य नहीं होगी।
",0
1221,"पिछले साल रायपुर की धागा फैक्ट्री व रनियां की एक फैक्ट्री में आग लगने पर तीन श्रमिकों की जलकर मौत हुई थी।
",0
2136,"खबरों के मुताबिक, कुछ एजेंसियों ने एग्जिट पोल के डेटा लीक कर दिए हैं
",0
146,"इसमें कोई शक नहीं है कि दोनों की टीमें शक्तिशाली हैं और इन दोनों के बीच का मैच भी गजब का रोमांचक होगा.
",1
